"first_h2","h1","pageTitle","random_text_from_the_page","url"
"Photos","Teach For Malaysia","Teach For Malaysia | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Teach-For-Malaysia/albums"
"","Login","Login | MAD For Good","Or","https://platform.madforgood.org/messages/new?toUsers=3173212&subject=Question+related+to+volunteering+opportunity+%22ERTI+Volunteer+Tutor+PPR+Taman+Medan+Cahaya+%28January+-+April%29%22&message=Link%3A+https%3A%2F%2Fplatform.madforgood.org%2Fo%2FTeach-For-Malaysia%2Fopportunities%2FERTI-Volunteer-Tutor-PPR-Taman-Medan-Cahaya-January---April%2F106478%0A%0A"
"","Opportunities in Petaling Jaya","Volunteer in Petaling Jaya | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/volunteer/Petaling+Jaya/opportunities"
"About Teach For Malaysia","Teach For Malaysia","Teach For Malaysia | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Teach-For-Malaysia#bypass-nav"
"About Teach For Malaysia","Teach For Malaysia","Teach For Malaysia | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Teach-For-Malaysia#bypass-sidebar"
"Teach For Malaysia","ERTI Volunteer Tutor PPR Desa Rejang (January - April)","ERTI Volunteer Tutor PPR Desa Rejang (January - April) | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Teach-For-Malaysia/opportunities/ERTI-Volunteer-Tutor-PPR-Desa-Rejang-January---April/106479#bypass-nav"
"Teach For Malaysia","ERTI Volunteer Tutor PPR Desa Rejang (January - April)","ERTI Volunteer Tutor PPR Desa Rejang (January - April) | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Teach-For-Malaysia/opportunities/ERTI-Volunteer-Tutor-PPR-Desa-Rejang-January---April/106479#bypass-sidebar"
"","Login","Login | MAD For Good","Or","https://platform.madforgood.org/messages/new?toUsers=3173212&subject=Question+related+to+volunteering+opportunity+%22ERTI+Volunteer+Tutor+PPR+Desa+Rejang+%28January+-+April%29%22&message=Link%3A+https%3A%2F%2Fplatform.madforgood.org%2Fo%2FTeach-For-Malaysia%2Fopportunities%2FERTI-Volunteer-Tutor-PPR-Desa-Rejang-January---April%2F106479%0A%0A"
"SUKA Society","Weekly Activity Session with Children Survivors of Human-trafficking","Weekly Activity Session with Children Survivors of Human-trafficking | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/SUKA-Society/opportunities/Weekly-Activity-Session-with-Children-Survivors-of-Human-trafficking/88694#bypass-nav"
"SUKA Society","Weekly Activity Session with Children Survivors of Human-trafficking","Weekly Activity Session with Children Survivors of Human-trafficking | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/SUKA-Society/opportunities/Weekly-Activity-Session-with-Children-Survivors-of-Human-trafficking/88694#bypass-sidebar"
"Opportunities","SUKA Society","SUKA Society | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/SUKA-Society/opportunities"
"Photos","SUKA Society","SUKA Society | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/SUKA-Society/albums"
"","Login","Login | MAD For Good","Or","https://platform.madforgood.org/messages/new?toUsers=3169774&subject=Question+related+to+volunteering+opportunity+%22Weekly+Activity+Session+with+Children+Survivors+of+Human-trafficking%22&message=Link%3A+https%3A%2F%2Fplatform.madforgood.org%2Fo%2FSUKA-Society%2Fopportunities%2FWeekly-Activity-Session-with-Children-Survivors-of-Human-trafficking%2F88694%0A%0A"
"","Opportunities in Johor Bahru","Volunteer in Johor Bahru | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/volunteer/Johor+Bahru/opportunities"
"About SUKA Society","SUKA Society","SUKA Society | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/SUKA-Society#bypass-nav"
"About SUKA Society","SUKA Society","SUKA Society | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/SUKA-Society#bypass-sidebar"
"SUKA Society","Children's Education Programme Volunteer","Children's Education Programme Volunteer | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/SUKA-Society/opportunities/Childrens-Education-Programme-Volunteer/85956#bypass-nav"
"SUKA Society","Children's Education Programme Volunteer","Children's Education Programme Volunteer | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/SUKA-Society/opportunities/Childrens-Education-Programme-Volunteer/85956#bypass-sidebar"
"","Login","Login | MAD For Good","Or","https://platform.madforgood.org/messages/new?toUsers=3169774&subject=Question+related+to+volunteering+opportunity+%22Children%27s+Education+Programme+Volunteer%22&message=Link%3A+https%3A%2F%2Fplatform.madforgood.org%2Fo%2FSUKA-Society%2Fopportunities%2FChildrens-Education-Programme-Volunteer%2F85956%0A%0A"
"","Opportunities in Nilai","Volunteer in Nilai | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/volunteer/Nilai/opportunities"
"4,334,945","Impact made easy.","Sedunia, Impact made easy
","Donate, volunteer and support the people and causes you care about.","https://www.sedunia.me/#get-started"
"","Organizing different events in order to fundraise ","Organizing different events in order to fundraise  - Fundraising Campaigns - Sedunia
","for GIS Cultivate EPIC Homes Build for an Orang Asli Family    BOOST","https://www.sedunia.me/campaigns/organizing-different-events-in-order-to-fundraise"
"","GIS Cultivate EPIC Homes Build for an Orang Asli Family","GIS Cultivate EPIC Homes Build for an Orang Asli Family - Fundraising Campaigns - Sedunia
","GIS Cultivate is fundraising to build a home for an Orang Asli family in Malaysia.
				 Poverty Alleviation Housing & Infrastructure Partnerships Children & Youth Health & Wellbeing","https://www.sedunia.me/campaigns/gis-cultivate-epic-homes-build-for-an-orang-asli-family"
"","Kashvi  Agarwal","Kashvi  Agarwal's Profile - Sedunia
","","https://www.sedunia.me/users/kashvi-agarwal"
"","Mengumpul dana untuk bina gelanggang futsal di Kampung Orang Asli Sungai Buloh","Mengumpul dana untuk bina gelanggang futsal di Kampung Orang Asli Sungai Buloh - Fundraising Campaigns - Sedunia
","Kami sedang mencari dana untuk bina sebuah gelanggang futsal di Kampung Orang Asli Sg Buloh
				 Housing & Infrastructure Health & Wellbeing Children & Youth","https://www.sedunia.me/campaigns/mengumpul-dana-untuk-bina-gelanggang-futsal-di-kampung-orang-asli-sungai-buloh"
"","Hayyu Mohd","Hayyu Mohd's Profile - Sedunia
","","https://www.sedunia.me/users/hayyu-sayyidah"
"","Help me bridge the education gap for refugee youth.","Help me bridge the education gap for refugee youth. - Fundraising Campaigns - Sedunia
","for Send a Refugee Youth in Malaysia to University    BOOST","https://www.sedunia.me/campaigns/help-me-bridge-the-education-gap-for-refugee-youth"
"","Send a Refugee Youth in Malaysia to University","Send a Refugee Youth in Malaysia to University - Fundraising Campaigns - Sedunia
","Fund Scholarships to Bridge the 1.5% Gap and Empower Refugee Youth for a Dignified Future.
				 Justice & Equality Education Children & Youth","https://www.sedunia.me/campaigns/send-a-refugee-youth-in-malaysia-to-university"
"","Naili Karimah","Naili Karimah's Profile - Sedunia
","","https://www.sedunia.me/users/fisunai"
"FREE","6 December Basic Builder Workshop + Basic Bamboo Workshop","6 December Basic Builder Workshop + Basic Bamboo Workshop - Missions - Sedunia
"," Scroll down for more tickets  ","https://www.sedunia.me/missions/6-december-basic-builder-workshop-1"
"Connecting People With Nature","Fuze Ecoteer Outdoor Adventures","Fuze Ecoteer Outdoor Adventures - Groups - Sedunia
","1 follower  |  1 missions  |   30 mission hours","https://www.sedunia.me/groups/fuze-ecoteer"
"Empowering The Streets","Street Feeders of KL","Street Feeders of KL - Groups - Sedunia
","1638 followers  |  45 missions  |   97 mission hours","https://www.sedunia.me/groups/streetfeederskl"
"Uniting Malaysians for Children","UNICEF Malaysia","UNICEF Malaysia - Groups - Sedunia
","{{ followerCountText }}  |  6 missions  |   50.8 mission hours","https://www.sedunia.me/groups/unicefmy"
"Jom Play!","Toy Libraries Malaysia","Toy Libraries Malaysia - Groups - Sedunia
","5 followers  |  3 missions  |   153 mission hours","https://www.sedunia.me/groups/http-www-toylibrar"
"","Jia Hui Ung","Jia Hui Ung's Profile - Sedunia
","","https://www.sedunia.me/users/jia-hui-ung"
"","Adrian Yeo","Adrian Yeo's Profile - Sedunia
","","https://www.sedunia.me/users/adrian-yeo"
"","Giovanna Pang","Giovanna Pang's Profile - Sedunia
","","https://www.sedunia.me/users/giovanna-pang"
"","Izati Samsudin","Izati Samsudin's Profile - Sedunia
","","https://www.sedunia.me/users/izati-samsudin"
"","Arianna Low","Arianna Low's Profile - Sedunia
","","https://www.sedunia.me/users/arianna-low"
"","Frankie Ng","Frankie Ng's Profile - Sedunia
","","https://www.sedunia.me/users/frankie-ng"
"","Idris Azim","Idris Azim's Profile - Sedunia
","","https://www.sedunia.me/users/idris-azim"
"","Khuhan Palani","Khuhan Palani's Profile - Sedunia
","","https://www.sedunia.me/users/khuhan-palani"
"","Will Chong ","Will Chong 's Profile - Sedunia
","","https://www.sedunia.me/users/will-chong"
"","Nisa Aziz","Nisa Aziz's Profile - Sedunia
","","https://www.sedunia.me/users/nisa-aziz"
"Connect in groups","","Groups - Sedunia
","We are currently curating our missions and would love to help you set up your group together.","https://www.sedunia.me/groups?page=66"
"Connect in groups","","Groups - Sedunia
","We are currently curating our missions and would love to help you set up your group together.","https://www.sedunia.me/groups?page=67"
"Relief, Restart and Rebuild","4x4 Relief Malaysia","4x4 Relief Malaysia - Groups - Sedunia
","141 followers  |  10 missions  |   328 mission hours","https://www.sedunia.me/groups/4x4reliefmalaysia"
"Academic Content Writer Services Provider","Affordable Dissertation UK","Affordable Dissertation UK - Groups - Sedunia
","0 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/affordabledissertat"
"Best ai tools for productivity ","Aibucket","Aibucket - Groups - Sedunia
","0 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/aibucket-1"
"","AIESEC in HELP","AIESEC in HELP - Groups - Sedunia
","{{ followerCountText }}  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/aiesecinhelp"
"ACTIVATE YOUTH LEADERSHIP | AIESEC IN JOHOR BAHRU","AIESEC in Johor Bahru","AIESEC in Johor Bahru - Groups - Sedunia
","0 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/aiesecinjohorbahru"
"Empower youth in Kedah Perlis to develop them through purposeful experiences","AIESEC in Kedah-Perlis","AIESEC in Kedah-Perlis - Groups - Sedunia
","{{ followerCountText }}  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/aiesecinkedahperlis"
"We place our confidence in youth as the key to unlock a better future","AIESEC in Kuching","AIESEC in Kuching - Groups - Sedunia
","1 follower  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/akuching"
"","AIESEC in Penang","AIESEC in Penang - Groups - Sedunia
","0 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/myapen"
"","AIESEC in UKM","AIESEC in UKM - Groups - Sedunia
","0 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/aiesecinukm"
"","AIESEC In UM","AIESEC In UM - Groups - Sedunia
","0 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/sedunia-me-aiesecum"
"We place our confidence in youth as the key to unlock a better future.","AIESEC in UNMC","AIESEC in UNMC - Groups - Sedunia
","{{ followerCountText }}  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/aiesecinunmc"
"We empower youth to be able to create change, through leadership development","AIESEC in UPM","AIESEC in UPM - Groups - Sedunia
","5 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/aiesecinupm"
"","AIESEC IN UTAR","AIESEC IN UTAR - Groups - Sedunia
","1 follower  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/autarstrive"
"","AJAR Society","AJAR Society - Groups - Sedunia
","1 follower  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/ajarsociety"
"","Akh Safety","Akh Safety - Groups - Sedunia
","0 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/akh-safety-1"
"Al Faisal Mandi | Halal Mandi & Italian Cuisine in Sydney","Al Faisal Mandi","Al Faisal Mandi - Groups - Sedunia
","0 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/alfaisalmandi"
"Online Quran Classes For Kids & Adult","Al Quran Lesson","Al Quran Lesson - Groups - Sedunia
","0 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/al-quran-lesson-1"
"Best Essay Writing Service in UK - Write My Essay UK","alex gilbert","alex gilbert - Groups - Sedunia
","0 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/writemyessayuk"
"Connect in groups","","Groups - Sedunia
","We are currently curating our missions and would love to help you set up your group together.","https://www.sedunia.me/groups?page=2"
"Connect in groups","","Groups - Sedunia
","We are currently curating our missions and would love to help you set up your group together.","https://www.sedunia.me/groups?page=3"
"Connect in groups","","Groups - Sedunia
","We are currently curating our missions and would love to help you set up your group together.","https://www.sedunia.me/groups?page=4"
"Connect in groups","","Groups - Sedunia
","We are currently curating our missions and would love to help you set up your group together.","https://www.sedunia.me/groups?page=5"
"Connect in groups","","Groups - Sedunia
","We are currently curating our missions and would love to help you set up your group together.","https://www.sedunia.me/groups?page=6"
"Connect in groups","","Groups - Sedunia
","We are currently curating our missions and would love to help you set up your group together.","https://www.sedunia.me/groups?page=7"
"Connect in groups","","Groups - Sedunia
","We are currently curating our missions and would love to help you set up your group together.","https://www.sedunia.me/groups?page=8"
"Grow a Community together","","Communities - Sedunia
","Share resources for the places and people we care about.","https://www.sedunia.me/communities#collapseMap"
"","","Sedunia
","Don't have an account yet?Sign up now","https://www.sedunia.me/communities/create"
"Grow a Community together","","Communities - Sedunia
","Share resources for the places and people we care about.","https://www.sedunia.me/communities#collapseFilters"
"Add a Wishlist Item","Settlers of Catan","Settlers of Catan - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/settlers-of-catan"
"Add a Wishlist Item","Kg Sungai Kecil Temir","Kg Sungai Kecil Temir - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-sungai-kecil-temir"
"","Dominic Tham","Dominic Tham's Profile - Sedunia
","","https://www.sedunia.me/users/dominic-tham-1"
"Add a Wishlist Item","Kg Orang Asli Chenein","Kg Orang Asli Chenein - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-orang-asli-chenein-1"
"Add a Wishlist Item","Kg Sungai Tompesel","Kg Sungai Tompesel - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-sungai-tompesel"
"Add a Wishlist Item","Kg Orang Asli Lanai, Pos Lanai","Kg Orang Asli Lanai, Pos Lanai - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-oa-lanai-pos-lanai"
"","Farah Ramlee","Farah Ramlee's Profile - Sedunia
","","https://www.sedunia.me/users/Nur%20Farah%20Izni%20Binti%20Ramlee"
"Add a Wishlist Item","Kg Baru Agui","Kg Baru Agui - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-baru-agui"
"Add a Wishlist Item","Kg Orang Asli Dayok, Pos Lenjang","Kg Orang Asli Dayok, Pos Lenjang - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-oa-dayok-pos-lenjang"
"Add a Wishlist Item","Kg Tanjung Rambai","Kg Tanjung Rambai - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-tanjung-rambai"
"Add a Wishlist Item","Kg Chuweh, Rps Banun","Kg Chuweh, Rps Banun - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-chuweh-rps-banun"
"Grow a Community together","","Communities - Sedunia
","Share resources for the places and people we care about.","https://www.sedunia.me/communities?page=2"
"Add a Wishlist Item","Kg Orang Asli Ulu Sat","Kg Orang Asli Ulu Sat - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-orang-asli-ulu-sat"
"Add a Wishlist Item","Kg Orang Asli Kucing","Kg Orang Asli Kucing - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-orang-asli-kucing"
"Grow a Community together","","Communities - Sedunia
","Share resources for the places and people we care about.","https://www.sedunia.me/communities?page=3"
"Grow a Community together","","Communities - Sedunia
","Share resources for the places and people we care about.","https://www.sedunia.me/communities?page=4"
"Add a Wishlist Item","Kg Orang Asli Bendaling","Kg Orang Asli Bendaling - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-orang-asli-bendaling"
"Add a Wishlist Item","Kg Lubok, Pos Sinderut","Kg Lubok, Pos Sinderut - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-lubok-pos-sinderut"
"Grow a Community together","","Communities - Sedunia
","Share resources for the places and people we care about.","https://www.sedunia.me/communities?page=5"
"Add a Wishlist Item","Kg Jerangkak, Rps Betau","Kg Jerangkak, Rps Betau - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-jerangkak-rps-betau"
"Grow a Community together","","Communities - Sedunia
","Share resources for the places and people we care about.","https://www.sedunia.me/communities?page=6"
"Add a Wishlist Item","Kg Tenlan","Kg Tenlan - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-tenlan"
"Grow a Community together","","Communities - Sedunia
","Share resources for the places and people we care about.","https://www.sedunia.me/communities?page=7"
"Add a Wishlist Item","Kg Semul","Kg Semul - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-semul"
"Grow a Community together","","Communities - Sedunia
","Share resources for the places and people we care about.","https://www.sedunia.me/communities?page=8"
"Add a Wishlist Item","Kg Sagong","Kg Sagong - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-sagong"
"Grow a Community together","","Communities - Sedunia
","Share resources for the places and people we care about.","https://www.sedunia.me/communities?page=42"
"Add a Wishlist Item","Kg Orang Asli Sungai Tersik/Tabung","Kg Orang Asli Sungai Tersik/Tabung - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-oa-sungai-tersik-tabung"
"Grow a Community together","","Communities - Sedunia
","Share resources for the places and people we care about.","https://www.sedunia.me/communities?page=43"
"Add a Wishlist Item","Kg Orang Asli Batu 19","Kg Orang Asli Batu 19 - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-orang-asli-batu-19-1"
"Add a Wishlist Item","Kg Rumlak Sg Raya","Kg Rumlak Sg Raya - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-rumlak-sg-raya"
"Add a Wishlist Item","Kg Pos Tohoi","Kg Pos Tohoi - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-pos-tohoi"
"Add a Wishlist Item","Kg Dusun Raja, Rps Kuala Betis","Kg Dusun Raja, Rps Kuala Betis - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-dusun-raja-rps-kuala-betis"
"Add a Wishlist Item","Kg Bujok, Pos Bihai","Kg Bujok, Pos Bihai - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-bujok-pos-bihai"
"Add a Wishlist Item","Kg Bayo, Pos Bihai","Kg Bayo, Pos Bihai - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-bayo-pos-bihai"
"Add a Wishlist Item","Kg Orang Asli Kuala Tahan","Kg Orang Asli Kuala Tahan - Communities - Sedunia
","We are committed to bringing quality experience to you.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to try out this feature. Stay tuned!","https://www.sedunia.me/communities/kg-orang-asli-kuala-tahan"
"","Frequently Asked Questions","FAQ - Sedunia
","It is 100% free to start a mission. Sedunia does not charge any service fee.","https://www.sedunia.me/faq#general"
"","Frequently Asked Questions","FAQ - Sedunia
","It is 100% free to start a mission. Sedunia does not charge any service fee.","https://www.sedunia.me/faq#missions"
"","Frequently Asked Questions","FAQ - Sedunia
","It is 100% free to start a mission. Sedunia does not charge any service fee.","https://www.sedunia.me/faq#groups"
"","Frequently Asked Questions","FAQ - Sedunia
","It is 100% free to start a mission. Sedunia does not charge any service fee.","https://www.sedunia.me/faq#account"
"","Frequently Asked Questions","FAQ - Sedunia
","It is 100% free to start a mission. Sedunia does not charge any service fee.","https://www.sedunia.me/faq#collapse_mission_2"
"","Frequently Asked Questions","FAQ - Sedunia
","It is 100% free to start a mission. Sedunia does not charge any service fee.","https://www.sedunia.me/faq#collapse_mission_3"
"","Frequently Asked Questions","FAQ - Sedunia
","It is 100% free to start a mission. Sedunia does not charge any service fee.","https://www.sedunia.me/faq#collapse_mission_4"
"","Frequently Asked Questions","FAQ - Sedunia
","It is 100% free to start a mission. Sedunia does not charge any service fee.","https://www.sedunia.me/faq#collapse_mission_5"
"","Frequently Asked Questions","FAQ - Sedunia
","It is 100% free to start a mission. Sedunia does not charge any service fee.","https://www.sedunia.me/faq#collapse_mission_6"
"","Frequently Asked Questions","FAQ - Sedunia
","It is 100% free to start a mission. Sedunia does not charge any service fee.","https://www.sedunia.me/faq#collapse_mission_7"
"","Frequently Asked Questions","FAQ - Sedunia
","It is 100% free to start a mission. Sedunia does not charge any service fee.","https://www.sedunia.me/faq#collapseGuild_2"
"","Frequently Asked Questions","FAQ - Sedunia
","It is 100% free to start a mission. Sedunia does not charge any service fee.","https://www.sedunia.me/faq#collapseGuild_1"
"","Frequently Asked Questions","FAQ - Sedunia
","It is 100% free to start a mission. Sedunia does not charge any service fee.","https://www.sedunia.me/faq#collapseOne_tips"
"","","Sedunia
","Impact made easy.","https://www.sedunia.me/password/email"
"","","Sedunia
","Don't have an account yet?Sign up now","https://www.sedunia.me/match/request-help"
"","","Sedunia
","Don't have an account yet?Sign up now","https://www.sedunia.me/match/offer-help"
"","Match BETA","Sedunia Match
","Sharing our resources is one of the most effective ways to help one another.","https://www.sedunia.me/match#collapseMap"
"","","help Azlan buy photostat machine  - Sedunia Match
","3 weeks ago","https://www.sedunia.me/match/posts/1110/help-azlan-buy-photostat-machine"
"","","Looking for a Career into Game Industry - Sedunia Match
","1 month ago","https://www.sedunia.me/match/posts/1108/looking-for-a-career-into-game-industry"
"","","Small support  - Sedunia Match
","1 month ago","https://www.sedunia.me/match/posts/1107/small-support"
"","","Small help needed - Sedunia Match
","1 month ago","https://www.sedunia.me/match/posts/1106/small-help-needed"
"","","Tazhal Media – The Voice of the Community - Sedunia Match
","1 month ago","https://www.sedunia.me/match/posts/1105/tazhal-media-the-voice-of-the-community"
"","","Together, Let’s Stop Kids from Getting Worse Eye Power - Sedunia Match
","3 months ago","https://www.sedunia.me/match/posts/1104/together-lets-stop-kids-from-getting-worse-eye-power"
"","","Pusat Pelajar Marhaen - Sedunia Match
","3 months ago","https://www.sedunia.me/match/posts/1103/pusat-pelajar-marhaen"
"","","ORPHANAGE HOME KEPONG - Sedunia Match
","3 months ago","https://www.sedunia.me/match/posts/1102/orphanage-home-kepong"
"",""," - Sedunia Match
","5 months ago","https://www.sedunia.me/match/posts/1101"
"","","Dana Kasih untuk Sekolah Tunas Bakti: Sumbangan Katil & Keperluan Harian - Sedunia Match
","5 months ago","https://www.sedunia.me/match/posts/1100/dana-kasih-untuk-sekolah-tunas-bakti-sumbangan-katil-keperluan-harian"
"56113","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#learn-more"
"56113","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_FAQ_General3"
"56113","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_FAQ_General4"
"","Support the team behind ""COVID-19 Collective for Orang Asli""","Support the team behind ""COVID-19 Collective for Orang Asli"" - Fundraising Campaigns - Sedunia
","Your support enables our team to continue mobilizing food supplies for Orang Asli families
				
							","https://www.sedunia.me/campaigns/support-the-team-behind-covid-19-collective-for-orang-asli/about"
"56,045","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_FAQ_General5"
"47,995","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_FAQ_General6"
"53,650","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#collapseMap"
"47,995","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_FAQ_General7"
"","Ching Yee","Ching Yee's Profile - Sedunia
","","https://www.sedunia.me/users/ching-yee"
"47,834","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_FAQ_General8"
